"image_id"	"file_name"	"title"	"description"	"width"	"height"	"mime_type"	"creator"	"language"	"size"	"source"	"comments"	"other_references"	"emory"	"emory_location"	"authorization_status"	"image_status"	"ready_to_go"	"order_num"	"category"	"date"	"external_id"
"1788709"	"B746FA2298510C27F0808E912EDE57E8.JPG"	"Register of Africans from the 
Brigantine ""Félix"""	"The Brigantine ""Félix"" was captured at sea by British cruisers and 
adjudicated at a court established at Sierra Leone under international anti-slave trade 
treaties. The image is of a picture of the first page of the court’s register of 
""Liberated Africans"" taken from the ""Félix"". The register was kept as a formal record of 
emancipation that helped protect the individual from subsequent re-enslavement. The image 
is reproduced courtesy of the British National Archives."	"1017"	"827"	"image/jpeg"	"\N"	"en"	"710598"	"British National Archives, Foreign Office, ser. 84, vol. 212, p. 89."	"\N"	"\N"	"f"	"\N"	"6"	"4"	"t"	"0"	"4"	"1836"	"\N"
"711870"	"82FDC20F1C9CD871B20EDF420C82E22B.JPG"	"Charles Lamar"	"Charles Lamar 
onwed the Schooner ""Wanderer"". The ""Wanderer"" was the last vessel to disembark slaves in 
the United States, in 1858. She was built to be a racing yacht, but was converted into a 
slave vessel in an attempt to re-open the Atlantic slave trade at the eve of the American 
Civil War."	"600"	"819"	"image/pjpeg"	"\N"	"  "	"258373"	"Georgia Historical Society"	"\N"	"1) The Trans-Atlantic Slave Trade Database, voyage id #4293, 4965 and 4974.
2) Erik Calonious, The Wanderer: the last American slave ship and the conspiracy that set its 
sails (New York, 2006)."	"f"	"\N"	"0"	"1"	"f"	"4"	"2"	"0"	"\N"
"711859"	"5E0896439ED70EC9CE9BB77EDB5229A2.JPG"	"Slaves Liberated from Slaver 
""Zeldina"", Jamaica"	"This is one image of a group of illustrations published in The 
Illustrated London News on June 20th, 1857. The illustrations were created by the 
newspaper based on images sent with a letter from Kingston, Jamaica, dated May 11th, 1857, 
describing the capture of slaver ""Zeldina"" and the conditions of the slaves disembarked.  
The schooner ""Zeldina"" embarked slaves at Cabinda, but she was blown off her route to 
Cuba, captured by the British naval force in April, 1857, and stationed at Port Royal, 
Jamaica. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"640"	"829"	"image/pjpeg"	"The Illustrated London News"	"en"	"368314"	"The Illustrated London News (Jun. 20, 1857), vol. 30, p. 595"	"\N"	"1) VFHW, The 
Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image reference 
iln595e.2) The Transatlantic Slave Trade Database, voyage id# 4229."	"t"	"AP4 .I45 
V.30 1857"	"4"	"4"	"t"	"20"	"2"	"1857"	"\N"
"711857"	"918CA5C0A21EA387C36AACB7E9BCC9D3.JPG"	"Slaves Liberated from Slaver 
""Zeldina"", Jamaica"	"This is one image of a group of illustrations published in The 
Illustrated London News on June 20th, 1857. The illustrations were created by the 
newspaper based on images sent with a letter from Kingston, Jamaica, dated May 11th, 1857, 
describing the capture of slaver ""Zeldina"" and the conditions of the slaves disembarked.  
The schooner ""Zeldina"" embarked slaves at Cabinda, but she was blown off her route to 
Cuba, captured by the British naval force in April, 1857, and stationed at Port Royal, 
Jamaica."	"1000"	"839"	"image/pjpeg"	"The Illustrated London News"	"en"	"480012"	"The 
Illustrated London News (Jun. 20, 1857), vol. 30, p. 595"	"\N"	"1) VFHW, The Atlantic 
Slave Trade and Slave Life in the Americas: a Visual Record, image reference iln595c.
2) The Transatlantic Slave Trade Database, voyage id# 4229."	"t"	"AP4 .I45 V.30 1857"	"4"	"4"	"t"	"18"	"2"	"1857"	"\N"
"711856"	"BA3C0C237889283D142466FA5F5ED949.JPG"	"Slaves Liberated from Slaver 
""Zeldina"", Jamaica"	"This is one image of a group of illustrations published in The 
Illustrated London News on June 20th, 1857. The illustrations were created by the 
newspaper based on images sent with a letter from Kingston, Jamaica, dated May 11th, 1857, 
describing the capture of slaver ""Zeldina"" and the conditions of the slaves disembarked.  
The schooner ""Zeldina"" embarked slaves at Cabinda, but she was blown off her route to 
Cuba, captured by the British naval force in April, 1857, and stationed at Port Royal, 
Jamaica. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"640"	"818"	"image/pjpeg"	"The Illustrated London News"	"en"	"330935"	"The Illustrated London News (Jun. 20, 1857), vol. 30, p. 595"	"\N"	"1) VFHW, The 
Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image reference 
iln595b.2) The Transatlantic Slave Trade Database, voyage id# 4229."	"t"	"AP4 .I45 
V.30 1857"	"4"	"4"	"t"	"17"	"2"	"1857"	"\N"
"1788745"	"307AAF1C6989A6BC50A917A9B9C9A089.JPG"	"A Survivor from the ""Wildfire"""	"The ""Wildfire"" was sailing to Cuba when it was intercepted by anti-slave trade cruisers 
on its way back from Congo. It was escorted to Key West, Florida, and eventually Liberia, 
where the Africans disembarked. The image shows a picture of a child who survived the 
transatlantic voyage in bark ""Wildfire"". The image is reproduced courtesy of Tracy W. 
McGregor Library of American History, Special Collections, University of Virginia Library. 
Permission required to reproduce."	"800"	"908"	"image/jpeg"	"\N"	"en"	"576108"	"Harper’s 
Weekly (June 2, 1860), p. 345."	"\N"	"\N"	"f"	"\N"	"6"	"4"	"t"	"0"	"2"	"1860"	"\N"
"1368891"	"CE85FD6AC5F21E2843D04D529780F310.PNG"	"Slide 2"	"\N"	"691"	"480"	"image/png"	"\N"	"  "	"546800"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"2"	"99"	"2"	"\N"
"1368890"	"3C7EDBE7F45F3C6F26B748069E2A4E3F.PNG"	"Slide 1"	"\N"	"1061"	"705"	"image/png"	"\N"	"  "	"820283"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"1"	"99"	"1"	"\N"
"711858"	"2D075F47E1D12AFFBC2947D6E77A7516.JPG"	"Slaves Liberated from Slaver 
""Zeldina"", Jamaica"	"This is one image of a group of illustrations published in The 
Illustrated London News on June 20th, 1857. The illustrations were created by the 
newspaper based on images sent with a letter from Kingston, Jamaica, dated May 11th, 1857, 
describing the capture of slaver ""Zeldina"" and the conditions of the slaves disembarked.  
The schooner ""Zeldina"" embarked slaves at Cabinda, but she was blown off her route to 
Cuba, captured by the British naval force in April, 1857, and stationed at Port Royal, 
Jamaica. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"1024"	"807"	"image/pjpeg"	"The Illustrated London News"	"en"	"540510"	"The Illustrated London News (Jun. 20, 1857), vol. 30, p. 595"	"\N"	"1) 
VFHW, The Atlantic Slave Trade and Slave Life in the Americas: a Visual Record, image 
reference iln595d.2) The Transatlantic Slave Trade Database, voyage id# 4229."	"t"	"AP4 
.I45 V.30 1857"	"4"	"4"	"t"	"19"	"2"	"1857"	"\N"
"1788743"	"D0905FE408656BD996A40C0EB1540E5C.JPG"	"Liberated Africans on Deck of 
Bark ""Wildfire"""	"The bark ""Wildfire"" departed from New York, embarked slaves in the 
Congo River, with the intention of selling them in Cuba. However, before it could do so, 
American anti-slave trade cruisers intercepted the “Wildfire” at sea and conducted her to 
Key West, Florida, and eventually to Liberia. The image is of an illustration of the 
slaves on the deck of the ""Wildfire"" published in the ""Harper’s Weekly"" from a 
daguerreotype. The image is reproduced courtesy of Tracy W. McGregor Library of American 
History, Special Collections, University of Virginia Library. Permission required to 
reproduce."	"800"	"976"	"image/jpeg"	"\N"	"en"	"752231"	"Harper's Weekly (June 2, 1860), 
vol. 4, p. 344."	"\N"	"\N"	"f"	"\N"	"6"	"4"	"t"	"0"	"2"	"1860"	"\N"
"1788744"	"DC59A7135B5384480B0AB0426482FBB1.JPG"	"Princess Madia"	"Pricess Madia 
was one of the survivors of the slave bark ""Wildfire"". The ""Wildfire"" was sailing to Cuba 
when it was intercepted by anti-slave trade cruisers on its way back from Congo. Princess 
Madia together with hundreds of other Africans were eventually taken back to Africa, but 
to Liberia rather than the Congo River. No one knows whether Madia was a real African 
princess. She received this title from the crew members of the ""Wildfire"", who called her 
princess because of her dignified look which inspired deference from some of the other 
Africans sailing with her. The image is reproduced courtesy of Tracy W. McGregor Library 
of American History, Special Collections, University of Virginia Library. Permission 
required to reproduce."	"800"	"941"	"image/jpeg"	"\N"	"en"	"614560"	"Harper’s Weekly (June 
2, 1860), p. 345."	"\N"	"\N"	"f"	"\N"	"6"	"4"	"t"	"0"	"2"	"1860"	"\N"
"1368899"	"6B460DE5B64786B1F53785CE5DA65088.JPG"	"Job Ben Solomon, or Ayuba 
Suleiman Diallo"	"Ayuba Suleiman Diallo, better known as Job Ben Solomon, was a Fulbe 
Muslim from the present-day region of Senegal. He was captured and sold to English slave 
traders after returning from a trading expedition in which he, himself, intended to sell 
two slaves to the same English traders. Solomon embarked on the slave vessel ""Arabella"", 
in 1731, sailing from the Gambia to Maryland where he worked as a slave in tobacco farms 
for about a year. Because of his skills in Arabic writing, he moved to England where he 
was subsequently employed in the Royal African Company in Gambia. Job Ben Solomon remained 
 in the Gambia until he died in 1773. The image shows, in black and white engravings, a 
detail of a page from the Gentleman’s Magazine in which a picture of Job Ben Solomon was 
published in 1750. The image is reproduced courtesy of the Manuscript, Archives and Rare 
Book Library, Emory University."	"640"	"687"	"image/pjpeg"	"Gentleman's Magazine"	"en"	"408499"	"Gentleman's Magazine (Jun., 1750), vol. 20, facing p. 272."	"\N"	"\N"	"t"	"AP4 
.G3 V.20 1750 1 BOUND-VOL STORSPCOLL (nocirc)"	"4"	"4"	"t"	"0"	"2"	"1750"	"solomon"
"1368918"	"95192E6F997F9B9920F0DACBBE304547.JPG"	"Lisbon before the Great 
Earthquake of 1755"	"The great earthquake of Portugal in 1755 spawned the production of 
several images of Lisbon. The earthquake destroyed a large part of the city. Lisbon was 
the capital of the Portuguese Empire, so the catastrophe was felt by all Europeans. The 
early voyages of exploration departed from Lisbon, where the first African slaves were 
brought from the regions south of the Sahara Desert. The image provides a view of Lisbon 
from the Tagus River before the great earthquake. It portrays the city as a highly 
urbanized busy port and indicates some of the main buildings. This illustration is located 
in the City Museum of Lisbon, Portugal. The image is reproduced courtesy of the Digital 
Library of Portuguese Urban Cartography."	"900"	"629"	"image/pjpeg"	"L. P. Dreppe F. 
Aiege"	"fr"	"115447"	"MCL - MC.GRA.0335"	"\N"	"\N"	"f"	"\N"	"0"	"1"	"f"	"0"	"3"	"0"	"\N"
"1368922"	"4F7D62145D2FED008871046D169B18FA.JPG"	"Lisbon, c.1755"	"Lisbon, the 
heart of the Portuguese Empire, was destroyed by an earthquake in 1755. The city, a 
pioneer in the Atlantic slave trade, was enriched by the commodities produced by slave 
labor in her vast empire. The image shows Lisbon on the eve of the great earthquake. It 
indicates the main sites and buildings of Lisbon with exceptional accuracy. The 
illustration is located in the City Museum of Lisbon, Portugal. The image is reproduced 
courtesy of the Digital Library of Portuguese Urban Cartography."	"900"	"353"	"image/pjpeg"	"Frederich Schoenemann"	"de"	"71109"	"MCL - MC.GRA.0356"	"\N"	"\N"	"f"	"\N"	"0"	"1"	"f"	"0"	"3"	"1756"	"\N"
"1368871"	"F5E6C67FD1D62DE115B075BEFE16BE99.JPG"	"Bahia"	"The Bay of All Saints, 
in Bahia, north-east Brazil, was a major sugar producer of the Americas in the seventeenth 
century. The image indicates the names of islands, rivers, and settlements located in the 
bay. It also shows the location of several sugar plantations around the bay as well as the 
city of Salvador, the port protecting the entrance of the bay, upper section of the map. 
This map is located at the Cartographic Library of Itamaraty, Rio de Janeiro, Brazil. The 
image is reproduced courtesy of the Digital Library of Portuguese Urban Cartography."	"900"	"608"	"image/pjpeg"	"João Teixeira Albernaz"	"pt"	"171910"	"776.2a-1666A(1) 
I.6689/15 (Mapoteca do Itamaraty)"	"\N"	"\N"	"f"	"\N"	"0"	"1"	"f"	"0"	"3"	"1666"	"\N"
"1368935"	"05D2439D4637392B9BF8D48E8DB9A9A5.JPG"	"Belém do Pará"	"Pará was one of 
the principal regions in northern Brazil distributing African slaves around the Amazon 
basin and the Brazilian interior. Pará entered late in the Atlantic slave trade. The image 
is a map of the fort protecting the entrance to Belém, the principal port of slave 
arrivals in Pará, in the beginning of the Atlantic slave trade to Amazonia. Amazonia 
imported slaves from Africa to work initially in the exports of cacao. Later they worked 
in the production of cotton, rice and gold, which came from the Brazilian mining districts 
of Minas Gerais, Mato Grosso and Goiás. This map is located in the Overseas Historical 
Archive in Lisbon, Portugal. The image is reproduced courtesy of the Digital Library of 
Portuguese Urban Cartography."	"900"	"1308"	"image/jpeg"	"Jospe. Velho"	"pt"	"213819"	"A.H.U.-Col. Cartografia Ms.-XIV CM. Nº790-791"	"\N"	"\N"	"f"	"\N"	"0"	"1"	"f"	"0"	"3"	"1696"	"\N"
"1368893"	"2D6E53FD9187736719460DEB8BEE572D.PNG"	"Slide 4"	"\N"	"1005"	"341"	"image/png"	"\N"	"  "	"343108"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"4"	"99"	"4"	"\N"
"1368894"	"CAFD62783459904D8433DE0EE91F6B7C.PNG"	"Slide 5"	"\N"	"474"	"379"	"image/png"	"\N"	"  "	"40158"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"5"	"99"	"5"	"\N"
"1368895"	"5FFAC259393BDF432D6B8723F99603DE.PNG"	"Slide 6"	"\N"	"1045"	"745"	"image/png"	"\N"	"\N"	"32439"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"6"	"99"	"6"	"\N"
"1368896"	"C7E7FB43FE9E10182A921AEF91F26593.PNG"	"Slide 7"	"\N"	"692"	"520"	"image/png"	"\N"	"  "	"583065"	"\N"	"\N"	"\N"	"f"	"\N"	"0"	"0"	"f"	"7"	"99"	"7"	"\N"
"101718452"	"64BA7DB2B26B55551F2A6FECDA5A80A9-NEW.JPG"	"São Tiago, 1827"	"São 
Tiago is one of the islands belonging to the archipelago of Cape Verde, situated off the 
coast of West Africa. The island was discovered by 1460, and since then became a port of 
call in the voyages across the Atlantic. The island worked as an operational base for the 
Portuguese in the transatlantic slave trade from the coast of West Africa. The image is of 
a map produced by the Portuguese Commander José Joaquim Lopes de Lima in 1827, but 
published only in 1844. It provides the depth of the island’s bay as well as an 
illustration of São Tiago. The slave trade in the north Atlantic became prohibited in 
1815, but historical records show that the islands of Cape Verde remained engaged in this 
activity even after that year. The image is reproduced courtesy of the Manuscript, 
Archives and Rare Book Library, Emory University."	"1024"	"764"	"image/jpeg"	"J.J. Lopes 
de Lima"	"pt"	"494704"	"J.J. Lopes de Lima, Ensaios sobre a Statística das Possessões 
Portuguezas... (Lisbon, 1844-62), vol. 1, part 2, between p. 22-23."	"\N"	"\N"	"t"	"JV4227 .L56 V.1"	"4"	"4"	"f"	"0"	"100"	"1844"	"\N"
"101718453"	"936DE5612387E435DEF4454753FDB086-NEW.JPG"	"São Vicente, 1827"	"São 
Vicente is one of the islands belonging to the archipelago of Cape Verde, situated off the 
coast of West Africa. The island was discovered by 1462, and worked as a port of call in 
the voyages across the Atlantic. In the slave trade, São Vicente served as base for the 
Portuguese on the coast of West Africa. The image is of a map produced by the Portuguese 
Commander José Joaquim Lopes de Lima in 1827, but published only in 1844. It provides the 
depth of the island’s bay as well as an illustration of the town of Mindelo with its main 
buildings. The slave trade in the north Atlantic became prohibited in 1815, but historical 
records show that the islands of Cape Verde remained engaged in this activity even after 
that year. The image is reproduced courtesy of the Manuscript, Archives and Rare Book 
Library, Emory University."	"1024"	"980"	"image/jpeg"	"J.J. Lopes de Lima"	"pt"	"570591"	"J.J. Lopes de Lima, Ensaios sobre a Statística das Possessões Portuguezas... (Lisbon, 
1844-62), vol. 1, part 2, between pp. 72-73."	"\N"	"\N"	"t"	"JV4227 .L56 V.1"	"4"	"4"	"f"	"0"	"100"	"1844"	"\N"
"101718555"	"E1CD2A5ECDF462432C6424CBF86F54B0-NEW.JPG"	"St. Louis Island, c.1730"	"St. Louis Island was a French settlement located on the coast of Senegambia, present day 
Senegal. In fact, the island was actually located at the mouth of Senegal River itself. 
St. Louis was guarded by a fort, which had the same name as the island which was a major 
port of slave embarkation in the French slave trade. The image is of a map of St. Louis 
Island published in 1728. It shows the island with some of its fortifications and main 
natural features. The image is reproduced courtesy of the Pitts Theology Library, Candler 
School of Theology, Emory University."	"1024"	"439"	"image/jpeg"	"\N"	"fr"	"235982"	"Jean 
Baptiste Labat, Nouvelle Relation de l’Afrique Occidental… (Paris, 1728), vol. 2, p. 
220."	"\N"	"\N"	"t"	"1728 LABA V.2"	"4"	"4"	"f"	"0"	"100"	"1728"	"\N"
"101788734"	"0DF76BF6054327712C013EC2D1735653-NEW.JPG"	"Fort St. Anthony at Axim, 
c.1700"	"During the transatlantic slave trade era, Europeans built several forts and 
castles along the Gold Coast, present day Ghana. They were mostly built in the seventeenth 
century, when the competition for maritime trade among European powers became intense. 
This image is of Fort St. Anthony at Axim, on the Gold Coast, in the early eighteenth 
century. It shows the fort surrounded by rocks, which worked as a sort of natural defense 
against the heavy surf, and the African village of Achombene to the rear of the fort. The 
insert in the upper left corner of the map indicates some of the main features of the 
region. At the beginning of the eighteenth century the fort belonged to the Dutch West 
India Company, which competed for the trade of the Gold Coast with the English and the 
Portuguese. The image is reproduced courtesy of Tracy W. McGregor Library of American 
History, Special Collections, University of Virginia Library. Permission required to 
reproduce."	"1024"	"629"	"image/jpeg"	"\N"	"en"	"617782"	"Thomas Astley (ed.), A New 
General Collection of Voyages and Travels (London, 1745-1747), vol.2, plate 63, fig.1, 
between pp. 578 and 579."	"\N"	"\N"	"f"	"\N"	"6"	"4"	"f"	"0"	"100"	"1745"	"\N"
