"id"	"name"
"82"	"Captured by slaves, recaptured and landed slaves in the Americas, lost"
"83"	" to be completed after Curto consulted on Arquivos Angola, II, vol 25, pp.189-91."
"84"	"ditto Arquivos Angola, II, vol 25, pp. 432-33."
"85"	"Completed voyage after slaves removed for salvage"
"86"	"Ship returned direct to home port after selling slaves to another vessel"
"87"	"Taken by slaves, vessel recaptured, unknown outcome"
"88"	"Sold prematurely in Europe after disembarking slaves in the Americas"
"89"	"Captured by the crew, slaves sold in Africa"
"90"	"Captured by the crew, no slaves taken, crew sold gold in Europe"
"91"	"Condemned in Africa with slaves, slaves transshipped/sold"
"92"	"Returned direct to Africa after bringing slaves to the Americas"
"93"	"Returned to Europe or Americas without obtaining slaves"
"94"	"Laid up (disarmed) or broken up in Africa"
"95"	"Laid up (disarmed) or broken up in the Americas"
"96"	"Either shipwrecked or captured by pirates before slaves taken on board"
"97"	"Abandoned or condemned for unseaworthiness in the Americas"
"98"	"Ship and slaves sold in Africa"
"99"	"Taken by slaves, recaptured, then ship lost"
"102"	"Vice-Admiralty Court, St.Helena,  condemned"
"103"	"Vice-Admiralty Court, St. Helena, restored"
"104"	"Vice-Admiralty Court, British Guiana, condemned"
"105"	"Vice-Admiralty Court, British Guiana, restored"
"106"	"Vice-Admiralty Court, Cape of Good Hope, condemned"
"107"	"Vice-Admiralty Court, Cape of Good Hope, restored"
"108"	"Vice-Admiralty Court, Jamaica, condemned"
"109"	"Vice-Admiralty Court, Jamaica, restored"
"110"	"Vice-Admiralty Court, Sierra Leone, condemned    ,"
"111"	"Vice-Admiralty Court, Sierra Leone, restored"
"112"	"Vice-Admiralty Court, Barbados, condemned"
"113"	"Vice-Admiralty Court, Barbados, restored"
"114"	"Vice-Admiralty Court, Mauritius, condemned"
"115"	"Vice-Admiralty Court, Mauritius, restored"
"118"	"High Court of Admiralty, condemned"
"119"	"High Court of Admiralty, restored"
"120"	"Court of Mixed Commission, Sierra Leone, condemned"
"121"	"Court of Mixed Commission, Sierra Leone, restored"
"122"	"Court of Mixed Commission, Havana, condemned"
"123"	"Court of Mixed Commission, Havana, restored"
"124"	"Court of Mixed Commission, Rio de Janeiro, condemned"
"125"	"Court of Mixed Commission, Rio de Janeiro, restored"
"126"	"Court of Mixed Commission, Luanda, condemned"
"127"	"Court of Mixed Commission, Luanda, restored"
"128"	"Court of Mixed Commission, Cape of Good Hope, condemned"
"129"	"Court of Mixed Commission, Cape of Good Hope, restored"
"130"	"Lagos, Vice-Admiralty Court, condemned"
"132"	"Vice-Admiralty Court, Antigua, condemned"
"134"	"Vice-Admiralty Court, Tortola, condemned"
"135"	"Vice-Admiralty Court, Tortola, restored"
"138"	"Vice-Admiralty Court, unspecified, condemned"
"139"	"Vice-Admiralty Court, unspecified, restored"
"141"	"Given up to the United States government"
"142"	"Arrested by Brazil or given up to the Brazilian government"
"144"	"Vice Admiralty Court, Dominica, condemned"
"148"	"Vice-Admiralty Court, Bahamas, condemned"
"149"	" Vice-Admiralty Court, Bahamas, restored"
"153"	"Captured and released without court proceedings"
"154"	"Driven or run on shore in the Americas: no court proceedings"
"155"	"Given up to the Mexican Government, Vera Cruz"
"156"	"Taken to Genoa and given up to Sardinian authorities"
"157"	"Abandoned in Europe after completing voyage"
"159"	"Captured by Argentinian privateers after embarkation of slaves"
"160"	"Captured by United States before slaves embarked"
"161"	"Captured by United States with slaves"
"162"	"Captured by United States after slaves disembarked"
"163"	"Captured by United States, slave presence unspecified"
"164"	"French proceedings initiated in Africa, acquittal"
"165"	"French proceedings initiated in Africa, condemned"
"166"	"French proceedings initiated in Africa, unknown outcome"
"170"	"French proceedings, initiated in unknown location, acquittal"
"171"	"French proceedings, initiated in unknown location, condemned"
"172"	"French proceedings, initiated in unknown location, unknown outcome"
"173"	"French proceedings initiated in Guadaloupe, acquittal"
"174"	"French proceedings initiated in Guadaloupe, condemned"
"175"	"French proceedings initiated in Guadaloupe, unknown outcome"
"176"	"French proceedings initiated in Martinique, acquittal"
"177"	"French proceedings initiated in Martinique, condemned"
"178"	"French proceedings initiated in Martinique, unknown outcome"
"179"	"French proceedings initiated in Cayenne, acquittal"
"180"	"French proceedings initiated in Cayenne, condemned"
"181"	"French proceedings initiated in Cayenne, unknown outcome"
"182"	"French proceedings initiated in France, acquittal"
"183"	"French proceedings initiated in France, condemned"
"184"	"French proceedings initiated in France, unknown outcome"
"185"	"Detained and condemned in the United States after slaves disembarked"
"186"	"Captured by Dutch, slaves turned loose in Africa"
"187"	"Captured by Dutch, slaves turned loose in Brazil"
"188"	"Temporarily detained by the Dutch: Voyage allowed to continue with slaves"
"189"	"Slaves are removed by the Dutch and vessel allowed to continue, subsequent fate unknown"
"191"	"Captured by Portuguese and Dutch"
"192"	"Captured by Algerian pirates"
"193"	"Captured by Turks"
"194"	"Captured by British, released"
"195"	"Looted by Dutch at Elmina"
"196"	"Captured by first by the British and then by the Dutch after slaves embarked"
"198"	"Vessel driven back into Portdep by British and voyage aborted"
"199"	"Arrived in Brazil and refused permission to disembark"
"200"	"Ship and cargo captured by Africans and ship released"
"201"	"Ship captured by Haitian navy and slaves released in Haiti"
"202"	"Condemned at Goree by the British"
"203"	"Captured by the British, retaken by original crew, completed voyage"
"204"	"Captured by pirates after slaves embarked, ship and slaves burned."
"205"	"Captured by English, slaves turned loose on Spanish Main"
"206"	"Sold slaves in Africa"
"207"	"Sold slaves in Europe - subsequent fate unknown"
"208"	"Left home port, no further record"
"209"	"captured by pirates and burned"
"210"	"looted by pirates, voyage continued"
"211"	"captured by Venezuelans before disembarkation of slaves"
"999"	"Other (specify in note)"
"136"	"Vice-Admiralty Court, Halifax, Condemned"
"212"	"Captured by the Swedes"
"213"	"Captured by the Dominican Republic"
